NombreEstacion;Parametro;Fecha;Valor;Ciudad;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;24/02/2010 0:00;20;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;25/02/2010 0:00;17.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;26/02/2010 0:00;18.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;27/02/2010 0:00;17.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;28/02/2010 0:00;18.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;1/03/2010 0:00;20;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;2/03/2010 0:00;20.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;3/03/2010 0:00;17.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;4/03/2010 0:00;17.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;5/03/2010 0:00;19.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;6/03/2010 0:00;20;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;7/03/2010 0:00;19.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;8/03/2010 0:00;20.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;9/03/2010 0:00;19.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;10/03/2010 0:00;20.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;11/03/2010 0:00;19.1;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;12/03/2010 0:00;18.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;13/03/2010 0:00;20.1;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;14/03/2010 0:00;20.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;15/03/2010 0:00;18.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;16/03/2010 0:00;18.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;17/03/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;18/03/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;19/03/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;20/03/2010 0:00;19.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;21/03/2010 0:00;20.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;22/03/2010 0:00;19;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;23/03/2010 0:00;17.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;24/03/2010 0:00;19.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;25/03/2010 0:00;19.3;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;26/03/2010 0:00;19;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;27/03/2010 0:00;19.5;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;28/03/2010 0:00;19.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;29/03/2010 0:00;21;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;30/03/2010 0:00;19.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;31/03/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;1/04/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;2/04/2010 0:00;20;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;3/04/2010 0:00;18.1;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;4/04/2010 0:00;18.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;5/04/2010 0:00;19.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;6/04/2010 0:00;16.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;7/04/2010 0:00;18.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;8/04/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;9/04/2010 0:00;19;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;10/04/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;11/04/2010 0:00;19;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;12/04/2010 0:00;19.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;13/04/2010 0:00;19.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;14/04/2010 0:00;16.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;15/04/2010 0:00;18.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;16/04/2010 0:00;20;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;17/04/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;18/04/2010 0:00;18.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;19/04/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;20/04/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;21/04/2010 0:00;20.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;22/04/2010 0:00;18.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;23/04/2010 0:00;19.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;24/04/2010 0:00;19.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;25/04/2010 0:00;20.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;26/04/2010 0:00;19.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;27/04/2010 0:00;19.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;28/04/2010 0:00;19.4;Medellin;;;;
